"id" "sex" "dead" "cens" "xli" "xti" "loc" "potEm" "im" "unsex" "outMigr"
225 "m" 0 0 3.65 0 "s" 1 0 0 0
226 "m" 0 0 0.13 0 "s" 1 0 0 0
227 "m" 0 0 0.97 0 "s" 1 0 0 0
228 "m" 0 0 0.85 0 "s" 1 0 0 0
229 "m" 0 0 0.74 0 "s" 1 0 0 0
230 "m" 0 0 2.5 0 "s" 1 0 0 0
231 "m" 0 0 10.86 0 "s" 1 0 0 0
232 "m" 0 0 2.14 0 "s" 1 0 0 0
233 "m" 0 0 1.45 0 "s" 1 0 0 0
234 "m" 0 0 3.07 0 "s" 1 0 0 0
235 "m" 0 0 1.17 0 "s" 1 0 0 1
236 "m" 0 0 1.81 0 "s" 1 0 0 0
237 "m" 0 0 1.17 0 "s" 1 0 0 1
238 "m" 0 0 4.49 0 "s" 1 0 0 1
239 "m" 0 0 0.51 0 "s" 1 0 0 0
240 "m" 0 0 4.65 0 "s" 1 0 0 0
241 "m" 0 0 4.39 0 "s" 1 0 0 1
242 "m" 0 0 0.61 0 "s" 1 0 0 0
243 "m" 0 0 0.71 0 "s" 1 0 0 0
244 "m" 0 0 0.47 0 "s" 1 0 0 0
245 "m" 0 0 2.36 0 "s" 1 0 0 0
246 "m" 0 0 2.95 0 "s" 1 0 0 0
247 "m" 0 0 0.64 0 "s" 1 0 0 0
248 "m" 0 0 0.64 0 "s" 1 0 0 0
249 "m" 0 1 1.91 0 "s" 0 0 0 0
250 "m" 0 0 0.71 0 "s" 1 0 0 0
251 "m" 0 0 0.71 0 "s" 1 0 0 0
252 "m" 0 1 1.52 0 "s" 0 0 0 0
253 "m" 0 0 0.32 0 "s" 1 0 0 0
254 "m" 0 1 1.49 0 "s" 0 0 0 0
255 "m" 0 1 1.49 0 "s" 0 0 0 0
256 "m" 0 0 0.29 0 "s" 1 0 0 0
257 "m" 0 0 0.61 0 "s" 1 0 0 0
258 "m" 0 0 0.61 0 "s" 1 0 0 0
259 "m" 0 0 2.28 0 "s" 1 0 0 0
260 "m" 0 0 0.3 0 "s" 1 0 0 0
261 "m" 0 0 0.47 0 "s" 1 0 0 0
262 "m" 0 0 1.96 0 "s" 1 0 0 0
263 "m" 0 0 0.58 0 "s" 1 0 0 0
264 "m" 0 0 0.73 0 "s" 1 0 0 0
265 "m" 0 0 2.45 0 "s" 1 0 0 0
266 "m" 0 0 1.02 0 "s" 1 0 0 1
267 "m" 0 0 1.02 0 "s" 1 0 0 1
268 "m" 0 0 2.33 0 "s" 1 0 0 1
269 "m" 0 0 2.33 0 "s" 1 0 0 1
270 "m" 0 0 1.14 0 "s" 1 0 0 0
271 "m" 0 0 5.66 5.66 "s" 0 1 0 0
272 "m" 0 0 7.42 2.4 "s" 0 1 0 0
273 "m" 0 0 9.4 4.75 "s" 0 1 0 1
274 "m" 0 0 1.67 0 "s" 1 0 0 1
275 "m" 0 0 1.67 0 "s" 1 0 0 1
276 "m" 0 0 1.89 0 "s" 1 0 0 1
277 "m" 0 0 1.89 0 "s" 1 0 0 1
278 "m" 0 0 1.89 0 "s" 1 0 0 1
279 "m" 0 0 1.56 0 "s" 1 0 0 1
280 "m" 0 0 1.56 0 "s" 1 0 0 1
281 "m" 0 0 0.13 0 "s" 1 0 0 0
282 "m" 0 0 0.13 0 "s" 1 0 0 0
283 "m" 0 0 1.71 0 "s" 1 0 0 1
284 "m" 0 0 1.71 0 "s" 1 0 0 1
285 "m" 0 0 1.71 0 "s" 1 0 0 1
286 "m" 0 0 1.92 0 "s" 1 0 0 1
287 "m" 0 0 1.92 0 "s" 1 0 0 1
288 "m" 0 0 2.48 0 "s" 1 0 0 0
289 "m" 0 0 0.41 0 "s" 1 0 0 0
290 "m" 0 0 0.41 0 "s" 1 0 0 0
291 "m" 0 0 2.86 0 "s" 1 0 0 1
292 "m" 0 0 2.86 0 "s" 1 0 0 1
293 "m" 0 0 3.73 0 "s" 1 0 0 1
294 "m" 0 0 3.23 0 "s" 1 0 0 0
295 "m" 0 0 3.72 0 "s" 1 0 0 1
296 "m" 0 0 0.18 0 "s" 1 0 0 0
297 "m" 0 0 0.28 0 "s" 1 0 0 0
298 "m" 0 0 11.21 6.07 "s" 0 1 0 1
299 "m" 0 0 9.4 4.75 "s" 0 1 0 1
300 "m" 0 0 8.7 7.47 "s" 0 1 0 0
301 "m" 0 0 9.07 5.86 "s" 0 1 0 0
302 "m" 0 0 14.63 6.36 "s" 0 1 0 0
303 "m" 0 0 0.49 0 "s" 1 0 0 0
304 "m" 0 1 9.42 2.63 "s" 0 1 0 0
305 "m" 0 0 2.12 0 "s" 1 0 0 0
306 "m" 0 0 0.9 0 "s" 1 0 0 0
307 "m" 0 0 4.41 4.29 "s" 0 1 0 0
308 "m" 0 0 9.98 5.46 "s" 0 1 0 0
309 "m" 0 0 8.53 5.77 "s" 0 1 0 0
310 "m" 0 0 5.06 2.43 "s" 0 1 0 0
311 "m" 0 0 1.82 0 "s" 1 0 0 1
312 "m" 0 0 2.86 0 "s" 1 0 0 1
313 "m" 0 0 1.82 0 "s" 1 0 0 1
314 "m" 0 0 1.93 0 "s" 1 0 0 0
315 "m" 0 0 2.86 0 "s" 1 0 0 1
316 "m" 0 0 2.86 0 "s" 1 0 0 1
317 "m" 0 0 2.72 0 "s" 1 0 0 0
318 "m" 0 0 6.82 5.69 "s" 0 1 0 1
319 "m" 0 0 6.33 2.93 "s" 0 1 0 0
320 "m" 0 0 1.64 0 "s" 1 0 0 1
321 "m" 0 0 10.12 6.81 "s" 0 1 0 0
